GEOHASH,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,COUNT
dnwket,37.3809814453,-81.0461425781,37.3809814453,-81.0571289062,37.3864746094,-81.0461425781,37.3864746094,-81.0571289062,1027
dnwkeu,37.3754882812,-81.03515625,37.3754882812,-81.0461425781,37.3809814453,-81.03515625,37.3809814453,-81.0461425781,735
dnwkeg,37.3699951172,-81.03515625,37.3699951172,-81.0461425781,37.3754882812,-81.03515625,37.3754882812,-81.0461425781,656
dnwke9,37.3590087891,-81.0461425781,37.3590087891,-81.0571289062,37.3645019531,-81.0461425781,37.3645019531,-81.0571289062,254
dnwkev,37.3809814453,-81.03515625,37.3809814453,-81.0461425781,37.3864746094,-81.03515625,37.3864746094,-81.0461425781,241
dnwked,37.3645019531,-81.0461425781,37.3645019531,-81.0571289062,37.3699951172,-81.0461425781,37.3699951172,-81.0571289062,240
dnwkef,37.3645019531,-81.03515625,37.3645019531,-81.0461425781,37.3699951172,-81.03515625,37.3699951172,-81.0461425781,240
dnwkew,37.3864746094,-81.0461425781,37.3864746094,-81.0571289062,37.3919677734,-81.0461425781,37.3919677734,-81.0571289062,140
dnwkes,37.3754882812,-81.0461425781,37.3754882812,-81.0571289062,37.3809814453,-81.0461425781,37.3809814453,-81.0571289062,80
